Id,Id2,Geography,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
310M200US10100,10100,"Aberdeen, SD Micro Area",42078,*****,42078,(X),908,28,2.2,0.1,41170,28,97.8,0.1,38103,79,90.6,0.2,578,93,1.4,0.2,1324,205,3.1,0.5,724,29,1.7,0.1,8,14,0,0.1,10,14,0,0.1,423,214,1,0.5
310M200US10140,10140,"Aberdeen, WA Micro Area",71419,*****,71419,(X),6855,*****,9.6,*****,64564,*****,90.4,*****,57228,27,80.1,0.1,813,98,1.1,0.1,2890,244,4,0.3,1066,226,1.5,0.3,252,27,0.4,0.1,25,57,0,0.1,2290,346,3.2,0.5
310M200US10180,10180,"Abilene, TX Metro Area",167945,*****,167945,(X),37722,*****,22.5,*****,130223,*****,77.5,*****,111034,1240,66.1,0.7,12992,1209,7.7,0.7,657,147,0.4,0.1,2445,195,1.5,0.1,45,56,0,0.1,135,106,0.1,0.1,2915,351,1.7,0.2
310M200US10220,10220,"Ada, OK Micro Area",38055,*****,38055,(X),1775,*****,4.7,*****,36280,*****,95.3,*****,25731,14,67.6,0.1,869,95,2.3,0.2,2761,285,7.3,0.7,345,45,0.9,0.1,6,10,0,0.1,9,14,0,0.1,6559,302,17.2,0.8
310M200US10300,10300,"Adrian, MI Micro Area",98902,*****,98902,(X),7512,*****,7.6,*****,91390,*****,92.4,*****,86348,31,87.3,0.1,2225,201,2.2,0.2,386,116,0.4,0.1,284,82,0.3,0.1,67,69,0.1,0.1,14,18,0,0.1,2066,245,2.1,0.2
310M200US10420,10420,"Akron, OH Metro Area",703744,*****,703744,(X),12455,*****,1.8,*****,691289,*****,98.2,*****,572264,236,81.3,0.1,83255,1119,11.8,0.2,1213,259,0.2,0.1,16753,533,2.4,0.1,104,72,0,0.1,715,285,0.1,0.1,16985,1238,2.4,0.2
310M200US10460,10460,"Alamogordo, NM Micro Area",65318,*****,65318,(X),23607,*****,36.1,*****,41711,*****,63.9,*****,33387,80,51.1,0.1,2315,133,3.5,0.2,4031,143,6.2,0.2,731,106,1.1,0.2,16,21,0,0.1,77,68,0.1,0.1,1154,179,1.8,0.3
310M200US10500,10500,"Albany, GA Metro Area",155917,*****,155917,(X),3811,56,2.4,0.1,152106,56,97.6,0.1,66138,329,42.4,0.2,82124,408,52.7,0.3,124,69,0.1,0.1,1449,139,0.9,0.1,2,3,0,0.1,211,215,0.1,0.1,2058,387,1.3,0.2
310M200US10540,10540,"Albany, OR Metro Area",118971,*****,118971,(X),9856,*****,8.3,*****,109115,*****,91.7,*****,102802,37,86.4,0.1,521,157,0.4,0.1,1622,296,1.4,0.2,1426,174,1.2,0.1,133,89,0.1,0.1,13,16,0,0.1,2598,400,2.2,0.3
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",877846,*****,877846,(X),41014,*****,4.7,*****,836832,*****,95.3,*****,714594,575,81.4,0.1,63532,1168,7.2,0.1,1069,236,0.1,0.1,33092,608,3.8,0.1,224,50,0,0.1,3881,889,0.4,0.1,20440,1061,2.3,0.1
310M200US10620,10620,"Albemarle, NC Micro Area",60586,*****,60586,(X),2336,*****,3.9,*****,58250,*****,96.1,*****,49468,61,81.6,0.1,6270,230,10.3,0.4,212,54,0.3,0.1,1148,47,1.9,0.1,15,22,0,0.1,39,61,0.1,0.1,1098,248,1.8,0.4
310M200US10660,10660,"Albert Lea, MN Micro Area",30897,*****,30897,(X),2870,*****,9.3,*****,28027,*****,90.7,*****,26950,72,87.2,0.2,344,27,1.1,0.1,68,48,0.2,0.2,371,67,1.2,0.2,12,19,0,0.1,48,56,0.2,0.2,234,101,0.8,0.3
